codigo,descricao,cod_descricao
11409,Improcedência Do Pedido E Improcedência Do Pedido Contraposto,11409:Improcedência Do Pedido E Improcedência Do Pedido Contraposto
1063,Determinação De Arquivamento De Procedimentos Investigatórios,1063:Determinação De Arquivamento De Procedimentos Investigatórios
12437,Conhecimento Para Determinar Sua Autuação Como Recurso Especial,12437:Conhecimento Para Determinar Sua Autuação Como Recurso Especial
12094,Incidente De Resolução De Demandas Repetitivas (Art. 981 E 982),12094:Incidente De Resolução De Demandas Repetitivas (Art. 981 E 982)
277,Convenção Das Partes Para Cumprimento Voluntário Da Obrigação,277:Convenção Das Partes Para Cumprimento Voluntário Da Obrigação
11014,Convenção Das Partes Para Cumprimento Voluntário Da Obrigação,11014:Convenção Das Partes Para Cumprimento Voluntário Da Obrigação
11402,Procedência Do Pedido E Procedência Em Parte Do Pedido Contraposto,11402:Procedência Do Pedido E Procedência Em Parte Do Pedido Contraposto
11404,Procedência Em Parte Do Pedido E Procedência Do Pedido Contraposto,11404:Procedência Em Parte Do Pedido E Procedência Do Pedido Contraposto
11408,Improcedência Do Pedido E Procedência Em Parte Do Pedido Contraposto,11408:Improcedência Do Pedido E Procedência Em Parte Do Pedido Contraposto
11406,Procedência Em Parte Do Pedido E Improcedência Do Pedido Contraposto,11406:Procedência Em Parte Do Pedido E Improcedência Do Pedido Contraposto
12439,Conhecimento Para Conhecer Em Parte O Recurso Especial E Dar Provimento ,12439:Conhecimento Para Conhecer Em Parte O Recurso Especial E Dar Provimento 
12440,Conhecimento Para Conhecer Em Parte O Recurso Especial E Negar Provimento,12440:Conhecimento Para Conhecer Em Parte O Recurso Especial E Negar Provimento
853,Conversão De Agravo De Instrumento Em Recurso Especial Ou Extraordinário,853:Conversão De Agravo De Instrumento Em Recurso Especial Ou Extraordinário
11405,Procedência Em Parte Do Pedido E Procedência Em Parte Do Pedido Contraposto,11405:Procedência Em Parte Do Pedido E Procedência Em Parte Do Pedido Contraposto
272,"A Depender Do Julgamento De Outra Causa, De Outro Juízo Ou Declaração Incidente","272:A Depender Do Julgamento De Outra Causa, De Outro Juízo Ou Declaração Incidente"
12735,Extinção De Punibilidade Em Razão Do Cumprimento De Acordo De Não Persecução Penal,12735:Extinção De Punibilidade Em Razão Do Cumprimento De Acordo De Não Persecução Penal
12448,Demonstração De Existência De Repercussão Geral E  Manifestação Sobre A Questão Constitucional,12448:Demonstração De Existência De Repercussão Geral E  Manifestação Sobre A Questão Constitucional
