codigo,descricao,cod_descricao
5961,Taxa De Exploração Mineral,5961:Taxa De Exploração Mineral
5963,Taxa De Guia De Importação,5963:Taxa De Guia De Importação
10185,Títulos Da Dívida Agrária,10185:Títulos Da Dívida Agrária
10184,Títulos Da Dívida Pública,10184:Títulos Da Dívida Pública
10460,Usucapião Especial Coletiva,10460:Usucapião Especial Coletiva
11508,Violação Do Sigilo Do Voto,11508:Violação Do Sigilo Do Voto
9026,Vícios Formais Da Sentença,9026:Vícios Formais Da Sentença
1691, Contribuição Confederativa,1691: Contribuição Confederativa
10918,Aborto Provocado Por Terceiro,10918:Aborto Provocado Por Terceiro
11277,Abuso De Requisição Militar,11277:Abuso De Requisição Militar
12895,Acesso Próximo Do Domicílio,12895:Acesso Próximo Do Domicílio
10308,Adicional De Serviço Noturno,10308:Adicional De Serviço Noturno
5573,Apropriação De Coisa Achada,5573:Apropriação De Coisa Achada
9706,Apropriação De Coisa Achada,9706:Apropriação De Coisa Achada
11175,Apropriação De Coisa Achada,11175:Apropriação De Coisa Achada
10183,Apólices Da Dívida Pública,10183:Apólices Da Dívida Pública
11208,Atos De Jurisdição Indevida,11208:Atos De Jurisdição Indevida
7757,Auxílio-Doença Acidentário,7757:Auxílio-Doença Acidentário
5801,Busca E Apreensão De Menores,5801:Busca E Apreensão De Menores
9938,Coação No Curso Do Processo,9938:Coação No Curso Do Processo
6195,Concessão De Naturalização,6195:Concessão De Naturalização
9955,Contra As Finanças Públicas,9955:Contra As Finanças Públicas
10564,Contribuição Sindical Rural,10564:Contribuição Sindical Rural
10565,Contribuição Sindical Rural,10565:Contribuição Sindical Rural
3642,Crimes Da Lei De Licitações,3642:Crimes Da Lei De Licitações
3606,Crimes De Abuso De Autoridade,3606:Crimes De Abuso De Autoridade
9542,Curadoria Dos Bens Do Ausente,9542:Curadoria Dos Bens Do Ausente
4960,Cédula De Crédito Bancário,4960:Cédula De Crédito Bancário
4962,Cédula De Crédito Comercial,4962:Cédula De Crédito Comercial
3496,Desabamento Ou Desmoronamento,3496:Desabamento Ou Desmoronamento
11182,Desabamento Ou Desmoronamento,11182:Desabamento Ou Desmoronamento
11972,Desastre Ferroviário Culposo,11972:Desastre Ferroviário Culposo
